tval energy MaxDim localEnergy 
0.09 -134.531 15 -2.82715 -2.82712 -2.82711 -2.81066 -2.8107 -2.81061 -2.81019 -2.81024 -2.81015 -2.81014 -2.81019 -2.8101 -2.81014 -2.81018 -2.81009 -2.81014 -2.81018 -2.81009 -2.81014 -2.81018 -2.81009 -2.81014 -2.81018 -2.81009 -2.81014 -2.81018 -2.81009 -2.81014 -2.81018 -2.81009 -2.81014 -2.81018 -2.81009 -2.81013 -2.81018 -2.81009 -2.81009 -2.81014 -2.81005 -2.80979 -2.80983 -2.80975 -2.80675 -2.80679 -2.8067 -2.67773 -2.67793 -2.67768 
0.1 -134.546 15 -2.82764 -2.82759 -2.82759 -2.81099 -2.81105 -2.81094 -2.81053 -2.81058 -2.81048 -2.81048 -2.81053 -2.81043 -2.81047 -2.81052 -2.81042 -2.81047 -2.81052 -2.81042 -2.81047 -2.81052 -2.81042 -2.81047 -2.81052 -2.81042 -2.81047 -2.81052 -2.81042 -2.81047 -2.81052 -2.81042 -2.81047 -2.81052 -2.81042 -2.81046 -2.81052 -2.81041 -2.81043 -2.81048 -2.81037 -2.81012 -2.81017 -2.81007 -2.80708 -2.80713 -2.80703 -2.67774 -2.67797 -2.67768 
0.11 -134.564 15 -2.8282 -2.82815 -2.82814 -2.81138 -2.81144 -2.81132 -2.81091 -2.81097 -2.81085 -2.81086 -2.81092 -2.8108 -2.81086 -2.81092 -2.8108 -2.81085 -2.81092 -2.8108 -2.81085 -2.81092 -2.8108 -2.81085 -2.81092 -2.8108 -2.81085 -2.81092 -2.8108 -2.81085 -2.81092 -2.8108 -2.81085 -2.81092 -2.8108 -2.81085 -2.81091 -2.81079 -2.81081 -2.81087 -2.81075 -2.81051 -2.81057 -2.81045 -2.80746 -2.80752 -2.8074 -2.67775 -2.67801 -2.67767 
0.12 -134.585 15 -2.82883 -2.82878 -2.82877 -2.81181 -2.81189 -2.81175 -2.81135 -2.81142 -2.81128 -2.8113 -2.81137 -2.81124 -2.81129 -2.81136 -2.81123 -2.81129 -2.81136 -2.81123 -2.81129 -2.81136 -2.81123 -2.81129 -2.81136 -2.81123 -2.81129 -2.81136 -2.81123 -2.81129 -2.81136 -2.81123 -2.81129 -2.81136 -2.81123 -2.81129 -2.81136 -2.81122 -2.81125 -2.81132 -2.81118 -2.81094 -2.81101 -2.81088 -2.80789 -2.80796 -2.80783 -2.67776 -2.67805 -2.67768 
0.13 -134.607 15 -2.82954 -2.82948 -2.82947 -2.8123 -2.81238 -2.81223 -2.81184 -2.81191 -2.81177 -2.81179 -2.81186 -2.81172 -2.81178 -2.81186 -2.81171 -2.81178 -2.81186 -2.81171 -2.81178 -2.81186 -2.81171 -2.81178 -2.81186 -2.81171 -2.81178 -2.81186 -2.81171 -2.81178 -2.81186 -2.81171 -2.81178 -2.81185 -2.81171 -2.81177 -2.81185 -2.8117 -2.81174 -2.81181 -2.81166 -2.81143 -2.81151 -2.81136 -2.80838 -2.80845 -2.80831 -2.67777 -2.67809 -2.67768 
0.14 -134.632 15 -2.83032 -2.83025 -2.83025 -2.81284 -2.81293 -2.81277 -2.81237 -2.81246 -2.8123 -2.81233 -2.81241 -2.81225 -2.81232 -2.8124 -2.81224 -2.81232 -2.8124 -2.81224 -2.81232 -2.8124 -2.81224 -2.81232 -2.8124 -2.81224 -2.81232 -2.8124 -2.81224 -2.81232 -2.8124 -2.81224 -2.81232 -2.8124 -2.81224 -2.81231 -2.81239 -2.81223 -2.81227 -2.81235 -2.8122 -2.81197 -2.81205 -2.81189 -2.80891 -2.80899 -2.80883 -2.67778 -2.67812 -2.67768 
0.15 -134.659 15 -2.83116 -2.83109 -2.83109 -2.81343 -2.81352 -2.81335 -2.81296 -2.81304 -2.81288 -2.81291 -2.81299 -2.81283 -2.8129 -2.81299 -2.81282 -2.8129 -2.81299 -2.81282 -2.8129 -2.81299 -2.81282 -2.8129 -2.81299 -2.81282 -2.8129 -2.81299 -2.81282 -2.8129 -2.81299 -2.81282 -2.8129 -2.81298 -2.81282 -2.81289 -2.81298 -2.81281 -2.81286 -2.81294 -2.81277 -2.81255 -2.81263 -2.81247 -2.80949 -2.80957 -2.80941 -2.67779 -2.67816 -2.67769 
0.16 -134.688 15 -2.83207 -2.832 -2.83199 -2.81406 -2.81415 -2.81398 -2.81358 -2.81367 -2.8135 -2.81353 -2.81362 -2.81345 -2.81353 -2.81362 -2.81344 -2.81353 -2.81362 -2.81344 -2.81353 -2.81362 -2.81344 -2.81353 -2.81362 -2.81344 -2.81353 -2.81362 -2.81344 -2.81353 -2.81362 -2.81344 -2.81352 -2.81361 -2.81344 -2.81352 -2.81361 -2.81344 -2.81348 -2.81357 -2.8134 -2.81317 -2.81326 -2.81309 -2.81011 -2.8102 -2.81003 -2.6778 -2.67819 -2.67769 
0.17 -134.719 15 -2.83303 -2.83295 -2.83295 -2.81473 -2.81483 -2.81464 -2.81425 -2.81434 -2.81416 -2.8142 -2.81429 -2.81411 -2.81419 -2.81428 -2.81411 -2.81419 -2.81428 -2.8141 -2.81419 -2.81428 -2.8141 -2.81419 -2.81428 -2.8141 -2.81419 -2.81428 -2.8141 -2.81419 -2.81428 -2.8141 -2.81419 -2.81428 -2.8141 -2.81418 -2.81428 -2.8141 -2.81415 -2.81424 -2.81406 -2.81384 -2.81393 -2.81375 -2.81077 -2.81086 -2.81068 -2.67781 -2.67821 -2.6777 
0.18 -134.752 15 -2.83404 -2.83396 -2.83396 -2.81544 -2.81554 -2.81535 -2.81495 -2.81504 -2.81486 -2.8149 -2.81499 -2.81481 -2.81489 -2.81499 -2.81481 -2.81489 -2.81498 -2.8148 -2.81489 -2.81498 -2.8148 -2.81489 -2.81498 -2.8148 -2.81489 -2.81498 -2.8148 -2.81489 -2.81498 -2.8148 -2.81489 -2.81498 -2.8148 -2.81488 -2.81498 -2.8148 -2.81485 -2.81494 -2.81476 -2.81454 -2.81463 -2.81445 -2.81147 -2.81155 -2.81138 -2.67782 -2.67823 -2.67771 
0.19 -134.786 15 -2.8351 -2.83501 -2.83502 -2.81618 -2.81628 -2.81609 -2.81568 -2.81578 -2.8156 -2.81563 -2.81573 -2.81555 -2.81562 -2.81572 -2.81554 -2.81562 -2.81572 -2.81554 -2.81562 -2.81572 -2.81554 -2.81562 -2.81572 -2.81554 -2.81562 -2.81572 -2.81554 -2.81562 -2.81572 -2.81554 -2.81562 -2.81572 -2.81554 -2.81562 -2.81571 -2.81553 -2.81558 -2.81567 -2.81549 -2.81527 -2.81536 -2.81518 -2.81219 -2.81228 -2.8121 -2.67783 -2.67824 -2.67772 
0.2 -134.821 15 -2.83619 -2.8361 -2.83611 -2.81694 -2.81704 -2.81686 -2.81644 -2.81653 -2.81636 -2.81639 -2.81648 -2.81631 -2.81638 -2.81648 -2.8163 -2.81638 -2.81648 -2.8163 -2.81638 -2.81648 -2.8163 -2.81638 -2.81648 -2.8163 -2.81638 -2.81648 -2.8163 -2.81638 -2.81648 -2.8163 -2.81638 -2.81647 -2.8163 -2.81638 -2.81647 -2.81629 -2.81634 -2.81643 -2.81626 -2.81602 -2.81612 -2.81594 -2.81294 -2.81303 -2.81286 -2.67783 -2.67824 -2.67773 
0.21 -134.857 15 -2.83731 -2.83723 -2.83724 -2.81774 -2.81784 -2.81766 -2.81722 -2.81732 -2.81715 -2.81717 -2.81727 -2.8171 -2.81717 -2.81726 -2.81709 -2.81716 -2.81726 -2.81709 -2.81716 -2.81726 -2.81709 -2.81716 -2.81726 -2.81709 -2.81716 -2.81726 -2.81709 -2.81716 -2.81726 -2.81709 -2.81716 -2.81726 -2.81709 -2.81716 -2.81725 -2.81708 -2.81712 -2.81721 -2.81704 -2.8168 -2.8169 -2.81673 -2.81372 -2.8138 -2.81364 -2.67784 -2.67824 -2.67773 
0.22 -134.894 15 -2.83846 -2.83838 -2.83839 -2.81855 -2.81865 -2.81848 -2.81803 -2.81812 -2.81796 -2.81798 -2.81807 -2.81791 -2.81797 -2.81806 -2.8179 -2.81797 -2.81806 -2.8179 -2.81797 -2.81806 -2.8179 -2.81797 -2.81806 -2.8179 -2.81797 -2.81806 -2.8179 -2.81797 -2.81806 -2.8179 -2.81797 -2.81806 -2.8179 -2.81796 -2.81805 -2.81789 -2.81792 -2.81801 -2.81785 -2.81761 -2.8177 -2.81753 -2.81451 -2.81459 -2.81444 -2.67784 -2.67823 -2.67773 
