Ly Lx dh h 
5 8 0.0025 2.000 
5 8 0.0025 2.100 
5 8 0.0025 2.200 
5 8 0.0025 2.300 
5 8 0.0025 2.400 
5 8 0.0025 2.500 
5 8 0.0025 2.600 
5 8 0.0025 2.700 
5 8 0.0025 2.765 
5 8 0.0025 2.775 
5 8 0.0025 2.785 
5 8 0.0025 2.795 
5 8 0.0025 2.800 
5 8 0.0025 2.805 
5 8 0.0025 2.815 
5 8 0.0025 2.825 
5 8 0.0025 2.835 
5 8 0.0025 2.845 
5 8 0.0025 2.855 
5 8 0.0025 2.865 
5 8 0.0025 2.875 
5 8 0.0025 2.885 
5 8 0.0025 2.895 
5 8 0.0025 2.900 
5 8 0.0025 2.905 
5 8 0.0025 2.915 
5 8 0.0025 3.000 
5 8 0.0025 3.100 
5 8 0.0025 3.200 
5 16 0.0250 2.000 
5 16 0.0250 2.100 
5 16 0.0250 2.200 
5 16 0.0250 2.300 
5 16 0.0250 2.400 
5 16 0.0250 2.500 
5 16 0.0250 2.600 
5 16 0.0250 2.700 
5 16 0.0250 2.765 
5 16 0.0250 2.775 
5 16 0.0250 2.785 
5 16 0.0250 2.795 
5 16 0.0250 2.800 
5 16 0.0250 2.805 
5 16 0.0250 2.815 
5 16 0.0250 2.825 
5 16 0.0250 2.835 
5 16 0.0250 2.845 
5 16 0.0250 2.855 
5 16 0.0250 2.865 
5 16 0.0250 2.875 
5 16 0.0250 2.885 
5 16 0.0250 2.895 
5 16 0.0250 2.900 
5 16 0.0250 2.905 
5 16 0.0250 2.915 
5 16 0.0250 3.000 
5 16 0.0250 3.100 
5 16 0.0250 3.200 
5 16 0.0025 2.000 
5 16 0.0025 2.100 
5 16 0.0025 2.200 
5 16 0.0025 2.300 
5 16 0.0025 2.400 
5 16 0.0025 2.500 
5 16 0.0025 2.600 
5 16 0.0025 2.700 
5 16 0.0025 2.765 
5 16 0.0025 2.775 
5 16 0.0025 2.785 
5 16 0.0025 2.795 
5 16 0.0025 2.800 
5 16 0.0025 2.805 
5 16 0.0025 2.815 
5 16 0.0025 2.825 
5 16 0.0025 2.835 
5 16 0.0025 2.845 
5 16 0.0025 2.855 
5 16 0.0025 2.865 
5 16 0.0025 2.875 
5 16 0.0025 2.885 
5 16 0.0025 2.895 
5 16 0.0025 2.900 
5 16 0.0025 2.905 
5 16 0.0025 2.915 
5 16 0.0025 3.000 
5 16 0.0025 3.100 
