method L v h quenchtau 
1 32 1.9 1.0 0.20 
1 32 1.9 1.0 0.40 
1 32 1.9 2.0 0.05 
1 32 1.9 2.0 0.10 
1 32 1.9 2.0 0.20 
1 32 1.9 2.0 0.40 
1 32 1.9 3.0 0.05 
1 32 1.9 3.0 0.10 
1 32 1.9 3.0 0.20 
1 32 1.9 3.0 0.40 
1 32 2.0 0.5 0.05 
1 32 2.0 0.5 0.10 
1 32 2.0 0.5 0.20 
1 32 2.0 0.5 0.40 
1 32 2.0 1.0 0.05 
1 32 2.0 1.0 0.10 
1 32 2.0 1.0 0.20 
1 32 2.0 1.0 0.40 
1 32 2.0 2.0 0.05 
1 32 2.0 2.0 0.10 
1 32 2.0 2.0 0.20 
1 32 2.0 2.0 0.40 
1 32 2.0 3.0 0.05 
1 32 2.0 3.0 0.10 
1 32 2.0 3.0 0.20 
1 32 2.0 3.0 0.40 
1 32 2.2 0.5 0.05 
1 32 2.2 0.5 0.10 
1 32 2.2 0.5 0.20 
1 32 2.2 0.5 0.40 
1 32 2.2 1.0 0.05 
1 32 2.2 1.0 0.10 
1 32 2.2 1.0 0.20 
1 32 2.2 1.0 0.40 
1 32 2.2 2.0 0.05 
1 32 2.2 2.0 0.10 
1 32 2.2 2.0 0.20 
1 32 2.2 2.0 0.40 
1 32 2.2 3.0 0.05 
1 32 2.2 3.0 0.10 
1 32 2.2 3.0 0.20 
1 32 2.2 3.0 0.40 
1 32 2.4 0.5 0.05 
1 32 2.4 0.5 0.10 
1 32 2.4 0.5 0.20 
1 32 2.4 0.5 0.40 
1 32 2.4 1.0 0.05 
1 32 2.4 1.0 0.10 
1 32 2.4 1.0 0.20 
1 32 2.4 1.0 0.40 
1 32 2.4 2.0 0.05 
1 32 2.4 2.0 0.10 
1 32 2.4 2.0 0.20 
1 32 2.4 2.0 0.40 
1 32 2.4 3.0 0.05 
1 32 2.4 3.0 0.10 
1 32 2.4 3.0 0.20 
1 32 2.4 3.0 0.40 
1 32 2.6 0.5 0.05 
1 32 2.6 0.5 0.10 
1 32 2.6 0.5 0.20 
1 32 2.6 0.5 0.40 
1 32 2.6 1.0 0.05 
1 32 2.6 1.0 0.10 
1 32 2.6 1.0 0.20 
1 32 2.6 1.0 0.40 
1 32 2.6 2.0 0.05 
1 32 2.6 2.0 0.10 
1 32 2.6 2.0 0.20 
1 32 2.6 2.0 0.40 
1 32 2.6 3.0 0.05 
1 32 2.6 3.0 0.10 
1 32 2.6 3.0 0.20 
1 32 2.6 3.0 0.40 
1 32 2.8 0.5 0.05 
1 32 2.8 0.5 0.10 
1 32 2.8 0.5 0.20 
1 32 2.8 0.5 0.40 
1 32 2.8 1.0 0.05 
1 32 2.8 1.0 0.10 
1 32 2.8 1.0 0.20 
1 32 2.8 1.0 0.40 
1 32 2.8 2.0 0.05 
1 32 2.8 2.0 0.10 
1 32 2.8 2.0 0.20 
1 32 2.8 2.0 0.40 
1 32 2.8 3.0 0.05 
1 32 2.8 3.0 0.10 
1 32 2.8 3.0 0.20 
1 32 2.8 3.0 0.40 
1 32 3.0 0.5 0.05 
1 32 3.0 0.5 0.10 
1 32 3.0 0.5 0.20 
1 32 3.0 0.5 0.40 
1 32 3.0 1.0 0.05 
1 32 3.0 1.0 0.10 
1 32 3.0 1.0 0.20 
1 32 3.0 1.0 0.40 
1 32 3.0 2.0 0.05 
1 32 3.0 2.0 0.10 
1 32 3.0 2.0 0.20 
1 32 3.0 2.0 0.40 
1 32 3.0 3.0 0.05 
1 32 3.0 3.0 0.10 
1 32 3.0 3.0 0.20 
1 32 3.0 3.0 0.40 
1 32 3.2 0.5 0.05 
1 32 3.2 0.5 0.10 
1 32 3.2 0.5 0.20 
1 32 3.2 0.5 0.40 
1 32 3.2 1.0 0.05 
1 32 3.2 1.0 0.10 
1 32 3.2 1.0 0.20 
1 32 3.2 1.0 0.40 
1 32 3.2 2.0 0.05 
1 32 3.2 2.0 0.10 
1 32 3.2 2.0 0.20 
1 32 3.2 2.0 0.40 
1 32 3.2 3.0 0.05 
1 32 3.2 3.0 0.10 
1 32 3.2 3.0 0.20 
